# Kiara's live service list, pulled from platform.rekaz.io/products on 2026-08-02.
# Columns: name | type | categories | status | imageId | options
#   options = "label~price~duration" joined by ";" (empty label = the service itself)
#   imageId  = https://cdn.rekaz.io/tenants/3a1f3638-e6dc-d864-4aa7-df60cdbb1146/<imageId>.webp
واكس اليد والابط 🍃|حجز|قسم حف الجسم|منشور|3a227405-2102-1644-f045-a395e16a24da|~60~15 دقيقة
تشقير الظهر 🍃|حجز|اختر القسم|منشور|3a227400-edb3-a7cb-fb6c-7bf92da330ce|~60~20 دقيقة
باقه الدوره الشهريه 🍃|حجز|اختر القسم|منشور|3a227f9a-df60-3083-ed8f-0311cbcf3d73|~250~ساعة و 30 دقيقة
تنظيف الشعر مع الترطيب (مع الحمام المغربي)|حجز|اختر القسم|منشور|3a227408-423c-c5d8-e353-18cce012c205|~85~20 دقيقة
باقة مساج الاخشاب 🍃|باقة|البكجات|منشور|3a2273f8-0484-cadb-478a-9ad90e82795e|~700~
عرض 2+2مجاناً|باقة|قسم العروض|داخلي|3a20abdd-2e6b-d380-8d24-2947d4579007|~385~
هدية جلسه مساج 🎁🍃|هدية|قسم الهدايا|داخلي|3a212100-05a9-3d49-2fe3-02b2051caf33|~185~
قسيمه للإهداء 🎁🍃 عايدي من تحبين بهدية مميزة هذا العيد|هدية|قسم الهدايا|داخلي|3a2120ff-30cb-6f4d-1505-145262517907|~300~
قسيمه للإهداء 🎁 🍃|هدية|قسم الهدايا|داخلي|3a2120fe-cf43-1299-01e4-823227ef04d3|~290~
قسيمه للإهداء 🎁🍃|هدية|قسم الهدايا|داخلي|3a2120fe-1ba6-1d1a-bae5-c844f3817571|~200~
تريتمنت لترطيب (للشعر الجاف والباهت) كلاسيكي 🍃|حجز|قسم العنايه بالشعر|منشور|3a227ee4-0a00-bff4-00bc-3e6729f77ca0|~100~40 دقيقة
تريتمنت الترطيب العميق (للشعر الجاف والباهت) العميق 🍃|حجز|قسم العنايه بالشعر|منشور|3a227ee4-c4ff-e15a-9784-00a99fc256d7|~150~40 دقيقة
تريتمنت للشعر (للمصبوغ والتالف) كلاسيكي 🍃|حجز|اختر القسم|منشور|3a227ee6-5211-6d03-0f89-45bf343e237d|ترميم الروابط (للمصبوغ والتالف) كلاسيكي~100~40 دقيقة;تريتمنت ترميم الروابط (للمصبوغ والتالف) العميق~150~40 دقيقة
هدية ست الحبايب 🍃|هدية|قسم الهدايا|داخلي|3a212129-8915-1e82-269d-ad7c8dabdd78|~200~;~200~;~290~;~290~;~300~;~300~
مناسبه التخرج 🎓🍃|هدية|اختر القسم|داخلي|3a20962b-66cf-9d4a-2ce7-0859c47d83db|~150~;~150~;~200~;~200~;~300~;~300~
عرض 1+1 مجانآ 🍃|حجز|قسم العروض|داخلي|3a212163-1d79-8518-eed2-8fcefbfe8dda|~200~ساعة
عرض 1 + 2 مجـاناً 🍃|حجز|قسم العروض|داخلي|3a212116-1b69-cf25-6a97-52fca6daef32|~200~دقيقة
باقة 3 الخوات مساج|حجز|اختر القسم|داخلي|3a1f86a5-efc3-63a1-0b8b-0a4cf53ddea8|~350~دقيقتين
باقة مساج الاخشاب 🍃|باقة|اختر القسم|داخلي|3a2120ee-099a-d85c-5fa6-6c3993a38f54|~720~
باقة خدمتين|حجز|اختر القسم|داخلي||~250~ساعة و 30 دقيقة
بكج اخشاب|باقة|قسم الشعر والحف, قسم المساج, +4|داخلي|3a1f66ab-ab83-10ac-083d-3423175d946e|~250~
التوصيل 10|منتج|اختر القسم|داخلي||~10~
بكج عيد الميلاد 🍃|هدية|اختر القسم|داخلي|3a21211e-431d-aa9b-8307-62083b0570d1|~389~
مساج الحامل 🍃 Air Cupping Massage|حجز|قسم المساج|منشور|3a227e81-7d8b-583b-c9c0-f07dd9fc3b38|- مساج الحامل 60 د - 🍃~185~ساعة;- مساج الحامل 40 د - 🍃~150~40 دقيقة
مساج كاسات الهوى 🍃 Cupping Massage|حجز|قسم المساج|منشور|3a22795d-cc25-ece7-7d85-3c6907a98480|~200~ساعة
مساج العملات المعدنية 🍃 Metal Coin Massage|حجز|قسم المساج|منشور|3a22798a-f2e0-8c47-aeb6-bc6dd76ccbbb|- مساج العملات المعدنية 60 د - 🍃~185~ساعة;- مساج العملات المعدنية 40 د - 🍃~150~40 دقيقة
مساج اخشاب (للسيلوليت )🍃 Wood Therapy Massage|حجز|قسم المساج|منشور|3a227959-ab67-a16d-04c4-beb80b49fd30|- مساج اخشاب (للسيلوليت )60د - 🍃~185~ساعة;- مساج اخشاب (للسيلوليت )40د - 🍃~150~40 دقيقة
مساج إسترخاء أحجار 🍃 Hot Stone Relaxation Massage|حجز|قسم المساج|منشور|3a22795a-725a-e0f9-8a5e-6fc30ef42f73|مساج إسترخاء أحجار 60 د🍃~185~ساعة;مساج إسترخاء أحجار 40 د🍃~150~40 دقيقة
- تركيب أظافر جاهزه - 🍃|حجز|قسم البديكير والمناكير|منشور|3a227f1a-969d-15cc-9f78-ad26ba8a1300|~35~10 دقائق
بديكير اليد 🍃 Manicure|حجز|قسم البديكير والمناكير|منشور|3a227eab-9929-f9aa-8aa5-d785c881ee45|بديكير اليد 🍃 Manicure~100~40 دقيقة;آرت مناكير اظافر~20~10 دقائق;كروم~20~10 دقائق;ستيكر~5~10 دقائق
بديكير ومناكير اطفال 🍃|حجز|قسم الأطفال|منشور|3a22740f-4cca-8156-9a5e-b035983d94a0|- بديكير ومناكير اطفال - 🍃~100~30 دقيقة;أظافر اطفال~25~10 دقائق;بدكير قدم او يد~50~10 دقائق
لون فرنسي يد 🍃|حجز|قسم البديكير والمناكير|منشور|3a227eae-1b1c-f600-7c70-7f85013048a1|~25~10 دقائق
بكـج سبا وعنايه 🍃|حجز|البكجات|منشور|3a227f35-195c-8f86-1f98-7844ea2b995b|~389~ساعتين
بديكير الأرجل 🍃|حجز|قسم البديكير والمناكير|منشور|3a227eac-d683-4332-d5c1-42182acedabe|~100~40 دقيقة
لون فرنسي ارجل 🍃|حجز|قسم البديكير والمناكير|منشور|3a227eb1-afa8-49a9-ad39-de3ee667975d|~35~20 دقيقة
مساج علاجى احجار 🍃 Hot Stone Therapeutic Massage|حجز|قسم المساج|منشور|3a227954-13fd-7bfa-fa3b-34646546aa64|~185~ساعة
مساج مكس 🍃 Mixed Massage|حجز|قسم المساج|منشور|3a227e75-e42a-7645-eacd-069a8a3c184f|- مساج مكس - 🍃~200~ساعة;- مساج مكس - 🍃~290~ساعة و 30 دقيقة
مساج الاطفال 🍃 Kids Massage|حجز|قسم الأطفال|منشور|3a227e8d-bf4d-d85b-ef07-7a60603397b1|~50~15 دقيقة
مساج الريفلوكسولوجي 🍃 Reflexology Massage|حجز|قسم المساج|منشور|3a2279b1-6bb2-3525-b2ad-a31133431fc9|~330~ساعة و 30 دقيقة
مساج vip 🍃|حجز|قسم المساج|منشور|3a227e7a-1229-91d9-bedf-1c8cfb4cba51|- مساج vip - 🍃~290~ساعة و 30 دقيقة;- مساج vip - 🍃~330~ساعتين
بديكير و مناكير كلاسيكي🍃|حجز|قسم البديكير والمناكير|منشور|3a227425-d557-c604-4c68-991b4465369e|بديكير و مناكير كلاسيكي🍃~145~ساعة;مساج لليد والأرجل~50~10 دقائق;لون فرنسي مع آرت~39~15 دقيقة;كروم~20~10 دقائق;اضافة ستيكر اظافر~5~10 دقائق;آرت لون مناكير~20~10 دقائق
إضافة لون عادي 🍃|حجز|قسم البديكير والمناكير|منشور|3a227eb5-30c4-8e26-b90f-a1d39e78b73b|~10~15 دقيقة
بديكير و مناكير سبيشال🍃|حجز|قسم البديكير والمناكير|منشور|3a227429-2d3c-1a77-54d0-89fadd2ae7fc|بديكير و مناكير سبيشال🍃~189~ساعة;لون فرنسي مع آرت~39~10 دقائق;لون فرنسي مع كروم~45~10 دقائق;كروم~20~10 دقائق;ستيكر اظافر~5~10 دقائق;آرت لون مناكير~20~10 دقائق
برافين اليد 🍃|حجز|قسم البديكير والمناكير|منشور|3a227423-fdd4-dd28-28e0-720f48ba4e12|~50~10 دقائق
برافين الأرجل 🍃|حجز|قسم البديكير والمناكير|منشور|3a227422-8567-a459-89de-2d74df0d4f3d|~80~20 دقيقة
الحمام المغربي 🍃|حجز|قسم الحمام المغربي|منشور|3a227e9f-3340-7506-8a8a-998bfb08a6cd|حمام مغربي ملكي 🍃~250~ساعة;حمام مغربي بالأعشاب 🍃~200~ساعة;حمام مغربي عادي🍃~150~40 دقيقة
واكس الجسم 🍃|حجز|قسم حف الجسم|منشور|3a227eb9-898c-3604-ec7b-a56b0bc0f5d9|- واكس الجسم كامل 🍃~185~40 دقيقة;- واكس اليد والأرجل مع منطقة الإبط🍃~120~20 دقيقة;- واكس منطقة البطن 🍃~50~10 دقائق;- واكس منطقة الظهر 🍃~40~10 دقائق;واكس منطة اليدين فقط مع الإبط 🍃~60~15 دقيقة
قص الشعر 🍃|حجز|قسم الاستشوار, قسم الشعر والحف|منشور|3a227ebd-5aa7-8373-9400-577be2e5dbb7|- قص الشعر( ستايل )🍃~59~30 دقيقة;- قص الشعر( غرة ) 🍃~15~10 دقائق;- قص الشعر( اطراف الشعر ) 🍃~39~10 دقائق;قص أطفال~39~10 دقائق
حف حواجب بالخيط 🍃|حجز|قسم الوجه والحواجب|منشور|3a227ec1-5e6b-642b-d7ad-ff400b324b17|- حف حواجب بالخيط - 🍃~39~20 دقيقة;حف شنب~15~10 دقائق
حف الوجه كامل 🍃|حجز|قسم الوجه والحواجب, قسم الشعر والحف|منشور|3a227ebf-a0f6-8071-cf63-405a27f8f41a|~50~30 دقيقة
حف الحواجب مع الصبغه 🍃|حجز|قسم الوجه والحواجب|منشور|3a227ec5-bb5a-bcb0-c6af-93702802de19|- حف الحواجب مع الصبغه - 🍃~54~30 دقيقة;صبغه حواجب~39~10 دقائق
لف اطراف بالسراميك 🍃|حجز|اختر القسم|منشور|3a227ef3-6711-6a11-5b59-bc7bf7abaed2|~50~40 دقيقة
استشوار الشعر 🍃|حجز|قسم الاستشوار|منشور|3a227ed4-60ca-4176-72e3-b008ff20d272|- استشوار الشعر S (شعر قصير ) 🍃~50~20 دقيقة;- استشوار الشعر M (شعر وسط ) 🍃~70~20 دقيقة;- استشوار الشعر L (شعر طويل ) 🍃~100~30 دقيقة
فير شعر كامل مع الاستشوار 🍃|حجز|قسم الاستشوار|منشور|3a227ed2-9eb9-454c-32a7-1626462b8bec|- فير شعر كامل مع الاستشوار S - 🍃~100~20 دقيقة;- فير شعر كامل مع الاستشوار M - 🍃~150~20 دقيقة;- فير شعر كامل مع الاستشوار L- 🍃~200~40 دقيقة;- فير شعر كامل مع الاستشوار xl - 🍃~250~ساعة
مساج التصريف اللمفاوي🍃 Lymphatic Drainage Massage|حجز|قسم المساج|منشور|3a227965-4023-8d44-1fcb-1c9704949d13|مساج التصريف اللمفاوي🍃~185~ساعة;مساج لمفاوي للجسم 40 دقيقة🍃~150~40 دقيقة
مساج سبيشال 🍃 Special Massage|حجز|قسم المساج|منشور|3a227e84-bcf2-fc52-4152-a62d26e4d46d|~290~ساعة و 30 دقيقة
مساج النفاس 🍃|حجز|قسم المساج|منشور|3a227979-6585-b833-d8e0-bc11068546a0|~290~ساعة و 30 دقيقة
مساج تفريغ هواء الرأس 🍃|حجز|قسم المساج|منشور|3a227e72-e516-4308-be94-08fd019de510|~50~10 دقائق
المساج التايلندي 🍃 Thai Massage|حجز|قسم المساج|منشور|3a227e7e-dbea-450b-dd49-22e9bc177d28|~150~40 دقيقة
المسـاج اللمفاوي للوجه 🍃|حجز|قسم المساج|منشور|3a227ef7-0aa9-2b69-4a7b-ecbfa526df73|~50~10 دقائق
ميـني مغربي وبديكير ومناكيـر 🍃|حجز|قسم الحمام المغربي|منشور|3a227ef0-7066-8e59-b938-323e7e0454ab|~250~40 دقيقة
تركيب الأظافر 🍃|حجز|قسم البديكير والمناكير|منشور|3a22741e-f7cc-80e7-2f01-9be3d5ec2bc5|~85~10 دقائق
ديتوكس مع فحص الفروه 🍃|حجز|قسم العنايه بالشعر|منشور|3a227ed9-8806-2306-0af3-68196956018f|- ديتوكس مع فحص للفروه دهنية -~185~40 دقيقة;- ديتوكس مع فحص للفروه الحساسة -~185~40 دقيقة;- ديتوكس مع فحص لتنشيط البصيلة -~185~40 دقيقة
ديتوكس عميق وفحص فروه 🍃|حجز|قسم العنايه بالشعر|منشور|3a227eda-0155-04a2-43eb-4e4b7825f829|~250~40 دقيقة
استشوار فوليـوم 🍃|حجز|قسم الاستشوار|منشور|3a227eca-8be4-8a12-ae91-c9acf7db5e22|استشوار فوليـوم 🍃~80~20 دقيقة;وسط فوليوم~120~30 دقيقة;طويل فوليوم~150~40 دقيقة
- جلسة معالج الشعر بالصبار 🍃|حجز|قسم الاستشوار|داخلي|3a1f546f-8924-7982-8ec2-23bd701b3e0b|~95~30 دقيقة
تركيب اكستنشن حبات كلبسات 🍃|حجز|قسم الاستشوار|منشور|3a227ecd-c4ca-a71c-a09f-bfc17ae2d47f|~150~ساعة
مساج سقنتشر 3 فـ 1 🍃|حجز|قسم المساج|منشور|3a227e92-8c8d-1511-1457-6b7e86ce42e3|~290~ساعة و 30 دقيقة
مسـاج الكبلـز 🍃|حجز|قسم الكبلز|منشور|3a227f16-f0b1-0b6d-6231-4f772df26973|~480~ساعة و 10 دقائق
بكج كيـارا المميز 🍃|حجز|قسم العروض, البكجات|منشور|3a227949-266b-2c91-cc40-d14f194eef1e|~480~ساعتين و 20 دقيقة
باقة الخوات ( 4 ) 🍃|حجز|قسم العروض, البكجات|منشور|3a227954-98df-f111-b47a-03b994bbd5b8|~520~ساعة و 20 دقيقة
بكج عيـد الميـلاد 🍃|حجز|البكجات, قسم الهدايا|منشور|3a227f31-56a1-017a-99a9-e1ce88b4f7e5|~598~ساعتين و 10 دقائق
إضافه لون مناكير ماركه o.p.i 🍃|حجز|قسم البديكير والمناكير|داخلي|3a1f541a-2428-e4b2-6a39-c3f90179dc9f|~20~10 دقائق
باقة تنظيف بشرة – أكتيف بالانس 🍃|حجز|البكجات|منشور|3a227ea2-3739-d3f2-5832-ba8ba186b744|~200~ساعة
تنظيف بشرة – هارموني فايس (Harmony Face) 🍃|حجز|قسم تنظيف البشره|منشور|3a227ea6-4d2c-10c2-2418-caa3295279e0|~200~40 دقيقة
تنظيف بشره – بيرفكت غلو (Perfect Glow)🍃|حجز|قسم تنظيف البشره|منشور|3a227ea7-8c17-558b-35ef-d158702028a7|~250~40 دقيقة
تنظيف بشره – ريتش نوتشر (Rich Nature) 🍃|حجز|قسم تنظيف البشره|منشور|3a227ea5-32bd-c0af-a74e-6d9be3dca11a|~250~40 دقيقة
تشقيـر الحواجب 🍃|حجز|قسم الوجه والحواجب|منشور|3a227ec2-ac0b-2465-86a3-4376ae440b8d|- تشقيـر الحواجب - 🍃~29~20 دقيقة;صبغة الحواجب - 🍃~39~20 دقيقة
تنظيـف الحواجب بالفيــت 🍃|حجز|قسم الوجه والحواجب|منشور|3a227ec8-63c9-7611-80ee-acb21b9db76d|~39~20 دقيقة
تركيب أظافر مع خدمه البدكير 🍃|حجز|قسم البديكير والمناكير|منشور|3a227f07-515d-5452-e16f-35d434c11925|~50~10 دقائق
لـون جـل 🍃|حجز|قسم البديكير والمناكير|منشور|3a227f0c-9a74-e564-b995-b2f023785774|لـون جـل 🍃~80~10 دقائق;كروم~20~10 دقائق;آرت للأظفر الواحد~10~10 دقائق;ستيكر~5~10 دقائق
بكـج البديكيـر والمناكـير للكبلـز 🍃|حجز|قسم الكبلز|منشور|3a227f18-ba8d-591c-ce7b-1a2547c0f47d|~334~ساعة و 20 دقيقة
بكـج تنظيف البشـره للكبلـز 🍃|حجز|قسم الكبلز|منشور|3a227f12-b182-435d-f997-7cf09e5c36c3|~399~ساعة و 10 دقائق
مساج الخلعـه 🍃|حجز|قسم المساج|منشور|3a227983-d6ec-f58e-bf3e-e0bca3008f5b|~50~10 دقائق
مساج رفـع الارحـام🍃|حجز|قسم المساج|منشور|3a227983-4fa7-5796-92db-5a6426318e6a|~50~10 دقائق
